id,date_posted,district,okrug,lat,lon,total_area,living_area,kitchen_area,rooms,floor,total_floors,building_year,building_type,ceiling_height,has_balcony,renovation,metro_station,metro_line,metro_distance_min,metro_distance_type,to_center_km,price_rub,price_per_sqm,mortgage_rate_at_listing,seller_type
S005079,2023-05-14,Lianozovo,SVAO,55.89126,37.54713,70.3,46.8,15.7,2,2,17,1982,brick,2.7,True,euro,Rechnoy Vokzal,Zamoskvoretskaya,40,transport,15.95,11405000,162300,10.0,agency
S005080,2022-04-02,Alekseevsky,SVAO,55.81938,37.62286,68.5,42.2,10.6,2,2,5,1961,brick,2.7,True,cosmetic,Teatralnaya,Zamoskvoretskaya,32,transport,7.28,12940000,189000,12.0,agency
S005081,2021-09-21,Nagatinsky Zaton,YuAO,55.65992,37.72318,57.4,37.4,13.9,2,9,9,1953,stalin,3.0,False,cosmetic,Polezhaevskaya,Tagansko-Krasnopresnenskaya,67,transport,12.26,9988000,174000,11.0,owner
S005082,2022-07-09,Severnoye Tushino,SZAO,55.85807,37.42287,70.8,41.1,10.0,2,4,5,1940,stalin,3.2,True,euro,Belorusskaya,Koltsevaya,53,transport,16.95,16014000,226300,12.0,agency
S005083,2022-12-15,Vnukovo,ZAO,55.64141,37.2721,103.2,57.4,15.6,4,2,22,1954,brick,2.5,True,cosmetic,Polezhaevskaya,Tagansko-Krasnopresnenskaya,92,transport,25.18,14672000,142100,10.0,agency
S005084,2024-03-22,Aeroport,SAO,55.79771,37.55272,63.9,38.8,13.6,2,7,12,1995,panel,3.0,True,no_renovation,Tsvetnoy Bulvar,Serpukhovsko-Timiryazevskaya,32,transport,6.47,11549000,180900,18.5,agency
S005085,2021-10-30,Nagatinsky Zaton,YuAO,55.6694,37.71314,88.1,55.8,15.9,4,5,5,2012,monolith,2.7,True,cosmetic,Park Kultury,Koltsevaya,40,transport,11.03,15655000,177800,11.0,agency
S005086,2024-07-20,Severnoye Tushino,SZAO,55.87005,37.41586,39.3,23.7,9.7,1,8,12,2023,modern_panel,2.8,True,euro,Universitet,Sokolnicheskaya,83,transport,18.19,8181000,208000,18.5,agency
S005087,2020-03-23,Butyrsky,SVAO,55.82882,37.59368,80.1,45.9,10.4,3,1,5,1972,khrushchev,3.0,True,euro,Trubnaya,Lyublinsko-Dmitrovskaya,31,transport,8.5,9075000,113200,8.5,agency
S005088,2020-11-02,Timiryazevsky,SAO,55.83858,37.55101,97.9,62.9,13.2,4,1,17,2006,modern_panel,2.7,True,cosmetic,Borovitskaya,Serpukhovsko-Timiryazevskaya,40,transport,10.38,13075000,133500,6.75,owner
S005089,2021-02-07,Zelenograd,ZelAO,55.98439,37.19638,103.9,66.5,19.7,5,8,12,2012,monolith,2.5,True,cosmetic,Park Pobedy,Arbatsko-Pokrovskaya,145,transport,36.85,7577000,73000,6.75,agency
S005090,2023-05-22,Prospekt Vernadskogo,ZAO,55.68204,37.5447,48.8,28.4,11.1,1,3,9,2015,monolith,2.5,True,cosmetic,Okhotny Ryad,Sokolnicheskaya,50,transport,9.3,13156000,269800,10.0,owner
S005091,2023-10-13,Filyovsky Park,ZAO,55.74596,37.4858,44.4,27.6,9.0,1,5,9,1970,khrushchev,2.7,True,cosmetic,Filyovsky Park,Filyovskaya,15,walk,8.49,10770000,242800,15.5,agency
S005092,2021-01-28,Veshnyaki,VAO,55.73169,37.82516,56.9,38.2,9.3,1,12,12,1970,panel,3.0,True,euro,Semyonovskaya,Arbatsko-Pokrovskaya,37,transport,13.03,6518000,114500,6.75,agency
S005093,2025-10-09,Kokoshkino,NAO,55.64623,37.20502,55.1,31.6,10.7,1,11,12,1956,brick,3.0,True,euro,Pushkinskaya,Tagansko-Krasnopresnenskaya,116,transport,28.67,5515000,100100,19.5,agency
S005094,2020-07-06,Vostochnoye Izmaylovo,VAO,55.79237,37.80357,65.1,37.8,12.2,2,5,25,1980,panel,2.5,True,no_renovation,Shabolovskaya,Kaluzhsko-Rizhskaya,69,transport,12.21,7272000,111600,6.75,agency
S005095,2024-04-12,Biryulyovo Vostochnoye,YuAO,55.57954,37.69213,84.1,50.2,8.0,2,4,22,1969,brick,2.7,True,no_renovation,Kurskaya,Koltsevaya,81,transport,19.9,11642000,138500,18.5,owner
S005096,2025-08-13,Sosenskoye,NAO,55.55669,37.44376,71.5,46.0,11.7,2,5,5,2013,modern_panel,2.7,True,cosmetic,Tulskaya,Serpukhovsko-Timiryazevskaya,89,transport,24.58,7524000,105300,19.5,agency
S005097,2025-05-12,Mosrentgen,NAO,55.63218,37.48692,56.9,38.2,12.1,1,14,17,1988,panel,2.7,False,cosmetic,Tyoply Stan,Kaluzhsko-Rizhskaya,8,walk,15.92,8450000,148600,23.5,agency
S005098,2020-04-04,Yuzhnoye Tushino,SZAO,55.84559,37.42345,48.3,27.0,10.0,2,13,17,1960,khrushchev,2.8,True,euro,Strogino,Arbatsko-Pokrovskaya,22,transport,16.0,8084000,167300,6.75,agency
S005099,2024-09-06,Alekseevsky,SVAO,55.80479,37.65088,47.5,30.8,8.3,1,12,17,2004,monolith,2.7,False,euro,Mendeleevskaya,Serpukhovsko-Timiryazevskaya,23,transport,5.96,14442000,303800,18.5,agency
S005100,2022-01-29,Koptevo,SAO,55.84088,37.51474,63.4,36.2,9.7,2,1,12,1972,panel,2.5,True,cosmetic,Sokol,Zamoskvoretskaya,26,transport,11.73,10670000,168400,22.5,agency
S005101,2025-02-19,Rogovskoye,TAO,55.25643,37.03293,83.9,53.0,13.4,3,12,17,1990,panel,2.5,True,no_renovation,Strogino,Arbatsko-Pokrovskaya,259,transport,66.56,3842000,45800,23.5,agency
S005102,2024-08-13,Severnoye Tushino,SZAO,55.87317,37.4306,94.4,53.6,12.3,4,5,5,1981,panel,2.5,True,designer,Delovoy Tsentr,MCC,58,transport,17.81,17051000,180500,18.5,agency
S005103,2021-09-24,Orekhovo-Borisovo Yuzhnoye,YuAO,55.60435,37.73735,66.9,43.2,11.7,2,10,12,1957,brick,2.7,True,euro,Pechatniki,Lyublinsko-Dmitrovskaya,39,transport,18.16,9879000,147700,11.0,agency
S005104,2025-11-19,Krasnoselsky,CAO,55.7698,37.6199,70.9,47.7,11.1,3,12,17,1973,panel,2.7,True,euro,Rimskaya,Lyublinsko-Dmitrovskaya,34,transport,1.77,20388000,287700,19.5,agency
S005105,2021-03-30,Kuntsevo,ZAO,55.7304,37.43761,56.8,33.3,8.9,2,7,12,2004,brick,2.5,True,euro,Prospekt Mira,Koltsevaya,62,transport,11.76,12284000,216100,6.75,agency
S005106,2023-06-01,Tyoply Stan,YuZAO,55.63657,37.45543,73.7,43.1,13.2,2,6,22,1974,brick,2.7,True,no_renovation,Yasenevo,Kaluzhsko-Rizhskaya,22,transport,16.66,12511000,169700,10.0,agency
S005107,2022-06-13,Krasnopakhorskoye,TAO,55.44741,37.3087,93.2,64.7,14.3,3,4,5,2009,modern_panel,2.8,True,no_renovation,Begovaya,Tagansko-Krasnopresnenskaya,170,transport,39.32,4766000,51200,12.0,agency
S005108,2022-12-19,Yuzhnoye Tushino,SZAO,55.83419,37.41659,65.2,44.8,15.5,2,4,22,2019,monolith,3.0,True,no_renovation,Pyatnitskoye Shosse,Arbatsko-Pokrovskaya,24,transport,15.58,14597000,223800,10.0,agency
S005109,2025-11-18,Solntsevo,ZAO,55.66434,37.40997,96.0,53.7,14.5,4,5,22,2024,monolith,2.7,True,cosmetic,Molodyozhnaya,Arbatsko-Pokrovskaya,48,transport,16.54,16660000,173600,19.5,agency
S005110,2022-05-07,Marfino,SVAO,55.84097,37.57573,44.8,26.9,11.0,1,7,25,2002,monolith,2.7,False,cosmetic,Sviblovo,Kaluzhsko-Rizhskaya,24,transport,10.08,8326000,185600,12.0,owner
S005111,2020-10-12,Metrogorodok,VAO,55.82196,37.7592,38.1,23.9,10.9,1,8,17,1978,brick,2.7,True,cosmetic,Ulitsa Podbelskogo,Sokolnicheskaya,15,transport,11.5,6486000,170200,6.75,agency
S005112,2025-12-12,Severnoye Butovo,YuZAO,55.57355,37.54922,57.3,33.5,9.6,1,15,17,2015,monolith,2.7,True,no_renovation,Kitay-Gorod,Kaluzhsko-Rizhskaya,87,transport,20.55,8383000,146400,19.5,agency
S005113,2021-11-19,Otradnoye,SVAO,55.86847,37.63567,64.3,43.4,10.0,2,14,17,2013,monolith,2.8,False,euro,Smolenskaya (AP),Arbatsko-Pokrovskaya,58,transport,12.77,10800000,168000,11.0,owner
S005114,2023-01-25,Basmanny,CAO,55.76791,37.69825,85.3,55.5,12.1,3,6,17,1967,khrushchev,2.8,True,euro,Kurskaya,Koltsevaya,13,transport,5.09,34999000,410300,10.0,agency
S005115,2021-08-13,Desyonovskoye,NAO,55.51562,37.49353,104.6,65.2,12.2,4,19,22,2017,modern_panel,2.7,False,cosmetic,Novogireyevo,Kalininskaya,138,transport,27.67,8170000,78100,11.0,agency
S005116,2024-01-19,Alekseevsky,SVAO,55.80723,37.64077,69.7,43.7,16.3,3,1,5,2007,monolith,2.7,False,euro,Novokuznetskaya,Zamoskvoretskaya,39,transport,6.06,17507000,251300,18.5,owner
S005117,2025-01-21,Orekhovo-Borisovo Severnoye,YuAO,55.62066,37.70564,75.5,42.5,11.7,3,11,17,2003,monolith,2.7,True,cosmetic,Okhotny Ryad,Sokolnicheskaya,72,transport,15.74,12191000,161400,23.5,owner
S005118,2024-02-03,Moskovsky,NAO,55.59594,37.35512,76.9,53.0,12.5,3,4,22,2011,monolith,2.8,True,cosmetic,Yasenevo,Kaluzhsko-Rizhskaya,54,transport,24.21,10092000,131300,18.5,agency
S005119,2025-09-27,Novogireyevo,VAO,55.75214,37.81145,50.1,32.8,11.5,1,4,9,1939,stalin,3.0,True,no_renovation,Perovo,Kalininskaya,12,walk,11.93,11676000,232900,19.5,agency
S005120,2024-07-18,Krasnoselsky,CAO,55.79093,37.65712,52.0,29.5,8.6,2,10,17,1998,brick,2.7,True,designer,Ugreshskaya,MCC,42,transport,4.7,23044000,442900,18.5,owner
S005121,2020-10-25,Novogireyevo,VAO,55.7549,37.79856,98.9,54.9,14.6,4,9,9,1968,khrushchev,2.5,True,euro,Perovo,Kalininskaya,12,walk,11.12,14383000,145400,6.75,agency
S005122,2023-12-02,Tagansky,CAO,55.73884,37.65132,62.3,34.9,9.6,2,4,5,2009,brick,2.7,True,euro,Kozhukhovskaya,Lyublinsko-Dmitrovskaya,18,transport,2.54,27983000,449100,15.5,agency
S005123,2021-08-03,Khoroshyovo-Mnyovniki,SZAO,55.76074,37.46616,66.5,45.4,8.3,2,1,9,1960,khrushchev,2.8,True,euro,Novoslobodskaya,Koltsevaya,39,transport,9.71,11170000,168000,11.0,owner
S005124,2021-02-23,Biryulyovo Zapadnoye,YuAO,55.59892,37.65912,45.4,27.9,9.9,1,1,5,1940,stalin,3.2,False,euro,Yuzhnaya,Serpukhovsko-Timiryazevskaya,21,transport,17.4,6449000,142000,6.75,agency
S005125,2026-02-16,Ochakovo-Matveyevskoye,ZAO,55.70937,37.457,58.7,39.3,8.7,1,2,5,2017,monolith,2.8,False,no_renovation,Slavyansky Bulvar,Arbatsko-Pokrovskaya,22,transport,11.39,13543000,230600,19.5,agency
S005126,2024-06-12,Begovoy,SAO,55.79322,37.5171,64.9,43.2,7.1,2,2,17,1967,khrushchev,2.7,True,no_renovation,Sapyornoye Pole,Bolshaya Koltsevaya,9,walk,7.82,16683000,257300,18.5,agency
S005127,2026-03-18,Fili-Davydkovo,ZAO,55.74068,37.47781,52.6,31.0,10.1,1,4,5,1991,panel,3.2,True,no_renovation,Polezhaevskaya,Tagansko-Krasnopresnenskaya,23,transport,9.07,13045000,248000,19.5,agency
S005128,2024-10-25,Lomonosovsky,YuZAO,55.69416,37.54672,70.0,44.3,8.3,3,21,25,2019,monolith,2.7,True,cosmetic,Universitet,Sokolnicheskaya,11,walk,8.1,31486000,449900,23.5,agency
S005129,2023-05-02,Sokolniki,VAO,55.78871,37.69807,45.0,26.9,9.8,1,1,5,1958,khrushchev,2.7,False,no_renovation,Sokolniki,Sokolnicheskaya,6,walk,6.19,7337000,163200,10.0,owner
S005130,2020-05-12,Mozhaysky,ZAO,55.73819,37.41701,41.4,27.1,6.9,1,15,17,2008,monolith,2.5,True,cosmetic,Fili,Filyovskaya,30,transport,12.87,6984000,168600,6.75,agency
S005131,2021-07-09,Khovrino,SAO,55.86036,37.46495,73.7,43.9,10.1,2,18,22,1983,brick,2.7,True,cosmetic,Kropotkinskaya,Sokolnicheskaya,67,transport,15.33,9196000,124800,11.0,agency
S005132,2023-08-02,Krasnopakhorskoye,TAO,55.44069,37.28529,71.7,49.1,13.1,2,3,12,1936,stalin,3.5,True,cosmetic,Yasenevo,Kaluzhsko-Rizhskaya,98,transport,40.71,5529000,77100,15.5,agency
S005133,2025-04-20,Orekhovo-Borisovo Yuzhnoye,YuAO,55.60692,37.70964,84.7,58.9,12.1,2,4,9,1961,brick,2.7,True,euro,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,43,transport,17.27,16068000,189600,23.5,agency
S005134,2023-10-16,Moskvorechye-Saburovo,YuAO,55.66004,37.68098,114.9,67.3,17.4,5,3,5,2009,brick,2.8,True,cosmetic,Kurskaya,Koltsevaya,56,transport,11.1,17246000,150000,15.5,owner
S005135,2021-05-19,Sosenskoye,NAO,55.55339,37.44785,70.2,38.9,10.2,3,8,9,2010,monolith,2.8,False,no_renovation,Proletarskaya,Tagansko-Krasnopresnenskaya,106,transport,24.8,6328000,90100,11.0,agency
S005136,2020-12-08,Shchapovskoye,TAO,55.37497,37.50203,58.5,34.4,13.4,2,8,22,1991,panel,3.0,False,cosmetic,Kurskaya,Koltsevaya,178,transport,42.79,2198000,37500,6.75,owner
S005137,2024-12-22,Golovinsky,SAO,55.82458,37.50403,62.2,39.3,7.4,2,21,25,2005,monolith,2.8,True,euro,Voykovskaya,Zamoskvoretskaya,33,walk,10.73,12989000,209000,23.5,owner
S005138,2026-03-06,Yakimanka,CAO,55.73814,37.60911,66.1,37.1,12.5,2,2,9,2016,monolith,2.7,True,euro,Krasnopresnenskaya,Koltsevaya,20,transport,1.9,40814000,617800,19.5,agency
S005139,2026-02-23,Nagatinsky Zaton,YuAO,55.68072,37.70887,45.1,29.3,8.7,1,7,12,2023,monolith,2.8,True,no_renovation,Ugreshskaya,MCC,25,walk,9.83,9659000,214100,19.5,agency
S005140,2021-08-24,Voykovsky,SAO,55.82682,37.5319,83.9,57.3,9.3,3,7,17,1961,khrushchev,3.0,False,cosmetic,Sapyornoye Pole,Bolshaya Koltsevaya,22,transport,9.83,12239000,145900,11.0,agency
S005141,2026-04-26,Bogorodskoye,VAO,55.82582,37.72263,95.1,60.6,14.5,3,11,17,2014,monolith,2.5,True,cosmetic,Elektrozavodskaya,Arbatsko-Pokrovskaya,20,transport,10.22,23080000,242600,19.5,owner
S005142,2020-03-13,Prospekt Vernadskogo,ZAO,55.68576,37.49868,68.8,42.2,15.1,2,2,5,2015,modern_panel,2.5,False,euro,Leninsky Prospekt,Kaluzhsko-Rizhskaya,28,transport,10.77,15564000,226100,8.5,owner
S005143,2021-06-28,Kuntsevo,ZAO,55.72912,37.40662,101.3,67.8,14.5,4,5,9,1940,stalin,3.0,True,cosmetic,Troparyovo,Sokolnicheskaya,42,transport,13.69,19519000,192700,11.0,agency
S005144,2025-12-24,Tyoply Stan,YuZAO,55.61888,37.49385,85.8,58.2,17.4,4,5,5,2010,monolith,2.7,True,cosmetic,Tyoply Stan,Kaluzhsko-Rizhskaya,14,walk,16.99,23730000,276600,19.5,agency
S005145,2021-08-19,Molzhaninovsky,SAO,55.94004,37.40935,69.4,38.9,14.4,3,20,22,1969,khrushchev,2.5,True,euro,Chekhovskaya,Serpukhovsko-Timiryazevskaya,100,transport,24.55,6653000,95900,11.0,owner
S005146,2024-10-12,Voronovskoye,TAO,55.30889,37.182,96.8,66.3,11.8,3,17,17,1971,khrushchev,2.7,True,cosmetic,Kievskaya,Koltsevaya,221,transport,56.67,4632000,47800,23.5,agency
S005147,2024-09-11,Chertanovo Tsentralnoye,YuAO,55.61312,37.6119,82.9,53.1,13.4,2,2,25,2017,monolith,2.7,True,no_renovation,Ulitsa 1905 Goda,Tagansko-Krasnopresnenskaya,65,transport,15.66,11197000,135100,18.5,owner
S005148,2020-11-08,Molzhaninovsky,SAO,55.95357,37.41855,58.3,38.9,9.1,1,5,5,2006,modern_panel,2.7,True,euro,Ugreshskaya,MCC,137,transport,25.54,5297000,90900,6.75,agency
S005149,2025-02-02,Troitsk,TAO,55.47601,37.34299,59.8,41.3,11.6,1,1,17,1967,khrushchev,3.0,True,euro,Chistye Prudy,Sokolnicheskaya,159,transport,35.48,4186000,70000,23.5,agency
S005150,2020-07-21,Mozhaysky,ZAO,55.71674,37.3878,51.8,33.1,7.1,1,7,12,2014,monolith,3.0,True,cosmetic,Slavyansky Bulvar,Arbatsko-Pokrovskaya,19,transport,15.16,8529000,164700,6.75,owner
S005151,2023-07-13,Krasnopakhorskoye,TAO,55.45374,37.30227,71.9,39.7,10.9,2,4,5,2013,modern_panel,2.7,True,cosmetic,Rimskaya,Lyublinsko-Dmitrovskaya,171,transport,38.91,4759000,66100,15.5,owner
S005152,2020-01-16,Kosino-Ukhtomsky,VAO,55.71092,37.84662,64.4,41.2,9.4,2,7,22,1960,brick,2.7,True,cosmetic,Smolenskaya (AP),Arbatsko-Pokrovskaya,77,transport,14.92,5293000,82200,8.5,agency
S005153,2023-07-08,Biryulyovo Vostochnoye,YuAO,55.59457,37.67125,79.0,48.4,15.9,3,5,5,2008,monolith,2.8,True,no_renovation,Ulitsa Akademika Yangelya,Serpukhovsko-Timiryazevskaya,25,transport,18.0,10394000,131500,15.5,agency
S005154,2025-11-21,Konkovo,YuZAO,55.65664,37.53234,64.5,37.4,8.0,2,1,5,2010,modern_panel,2.7,True,euro,Aleksandrovsky Sad,Filyovskaya,57,transport,12.15,13894000,215500,19.5,agency
S005155,2022-08-21,Kosino-Ukhtomsky,VAO,55.70943,37.8596,90.6,52.9,12.5,3,10,17,2015,monolith,3.2,True,euro,Trubnaya,Lyublinsko-Dmitrovskaya,70,transport,15.75,15342000,169400,12.0,agency
S005156,2020-07-15,Yasenevo,YuZAO,55.60264,37.54025,66.5,45.3,14.1,2,5,22,1976,panel,2.5,False,no_renovation,Yasenevo,Kaluzhsko-Rizhskaya,4,walk,17.56,12850000,193200,6.75,owner
S005157,2021-12-26,Novofyodorovskoye,TAO,55.33024,36.91021,46.4,31.8,8.4,1,5,17,1972,brick,2.7,True,euro,Studencheskaya,Filyovskaya,241,transport,64.94,2744000,59100,11.0,agency
S005158,2024-04-17,Losinoostrovsky,SVAO,55.87039,37.71882,59.9,39.9,15.1,2,11,12,2008,monolith,2.7,True,euro,Park Kultury,Koltsevaya,74,transport,14.33,11883000,198500,18.5,agency
S005159,2025-09-27,Yasenevo,YuZAO,55.59788,37.5208,44.6,25.4,11.0,2,5,12,2016,modern_panel,2.7,True,cosmetic,Yasenevo,Kaluzhsko-Rizhskaya,5,walk,18.45,13068000,293200,19.5,agency
S005160,2023-01-03,Lomonosovsky,YuZAO,55.69079,37.5911,84.6,50.0,10.8,3,19,25,2010,monolith,2.7,True,cosmetic,Proletarskaya,Tagansko-Krasnopresnenskaya,41,transport,7.26,24101000,284800,10.0,agency
S005161,2024-06-25,Tsaritsyno,YuAO,55.62544,37.69035,45.9,25.6,9.9,1,1,25,2001,monolith,2.7,True,cosmetic,Kantemirovskaya,Zamoskvoretskaya,29,walk,14.93,6945000,151200,18.5,owner
S005162,2025-11-06,Beskudnikovsky,SAO,55.85396,37.54823,92.2,54.4,14.0,3,9,9,2019,modern_panel,2.8,True,cosmetic,Preobrazhenskaya Ploshchad,Sokolnicheskaya,57,transport,12.02,14187000,153900,19.5,owner
S005163,2023-11-19,Novogireyevo,VAO,55.73928,37.81478,46.9,25.9,8.2,1,16,17,1969,khrushchev,2.5,True,euro,Perovo,Kalininskaya,14,walk,12.25,11256000,240200,15.5,owner
S005164,2022-07-07,Sviblovo,SVAO,55.86666,37.65949,42.2,23.7,9.5,1,7,9,2007,monolith,2.7,False,cosmetic,Sviblovo,Kaluzhsko-Rizhskaya,9,walk,12.77,9608000,227800,12.0,agency
S005165,2022-03-27,Ostankinsky,SVAO,55.84608,37.63079,68.5,38.6,11.4,2,7,9,2001,modern_panel,2.7,True,cosmetic,Belorusskaya,Koltsevaya,32,transport,10.27,10548000,154000,22.5,agency
S005166,2020-05-05,Klyonovskoye,TAO,55.2745,37.47032,50.8,28.2,7.9,1,4,5,1980,brick,2.7,True,designer,Park Kultury,Koltsevaya,219,transport,54.14,2659000,52400,6.75,agency
S005167,2022-04-17,Voronovskoye,TAO,55.30172,37.18566,93.4,60.2,16.5,4,3,5,1947,stalin,3.5,True,no_renovation,Universitet,Sokolnicheskaya,197,transport,57.25,5048000,54000,12.0,agency
S005168,2026-04-15,Basmanny,CAO,55.77896,37.6704,53.3,35.2,7.6,1,5,12,2019,monolith,2.7,True,no_renovation,Ploshchad Revolyutsii,Arbatsko-Pokrovskaya,19,transport,4.17,20338000,381900,19.5,agency
S005169,2020-12-31,Biryulyovo Zapadnoye,YuAO,55.58104,37.64763,90.8,53.1,13.5,4,4,9,2009,monolith,2.8,True,cosmetic,Profsoyuznaya,Kaluzhsko-Rizhskaya,46,transport,19.3,9885000,108900,6.75,agency
S005170,2024-08-13,Preobrazhenskoye,VAO,55.79158,37.72855,47.8,29.9,9.1,1,5,17,1967,khrushchev,2.8,True,cosmetic,Preobrazhenskaya Ploshchad,Sokolnicheskaya,2,walk,7.94,10914000,228200,18.5,owner
S005171,2022-03-16,Yakimanka,CAO,55.718,37.5909,37.3,25.3,11.7,1,8,12,2001,monolith,3.0,True,cosmetic,Tverskaya,Zamoskvoretskaya,16,transport,4.41,20648000,553700,22.5,agency
S005172,2024-02-26,Tsaritsyno,YuAO,55.60288,37.66264,49.3,30.1,7.3,1,3,22,1952,brick,2.8,False,designer,Kantemirovskaya,Zamoskvoretskaya,25,walk,17.0,11192000,227200,18.5,agency
S005173,2026-02-21,Khoroshyovo-Mnyovniki,SZAO,55.75802,37.44407,48.8,27.3,6.8,1,8,12,1979,brick,3.0,True,cosmetic,Polezhaevskaya,Tagansko-Krasnopresnenskaya,34,transport,11.07,10283000,210800,19.5,agency
S005174,2024-01-08,Desyonovskoye,NAO,55.53495,37.45695,121.8,85.0,12.4,5,17,17,2011,monolith,2.8,True,cosmetic,Bagrationovskaya,Filyovskaya,103,transport,26.43,12258000,100700,18.5,agency
S005175,2022-01-18,Timiryazevsky,SAO,55.81222,37.5938,65.5,42.6,9.4,1,7,17,2020,modern_panel,2.7,False,no_renovation,Timiryazevskaya,Serpukhovsko-Timiryazevskaya,10,walk,6.7,14770000,225600,22.5,agency
S005176,2023-07-24,Yuzhnoye Tushino,SZAO,55.8339,37.45484,76.9,43.2,16.3,3,18,25,2023,modern_panel,3.0,True,no_renovation,Rechnoy Vokzal,Zamoskvoretskaya,34,walk,13.67,15128000,196700,15.5,owner
S005177,2020-04-28,Troitsk,TAO,55.46997,37.29668,51.5,28.7,14.0,2,3,9,1983,panel,3.0,False,cosmetic,Chistye Prudy,Sokolnicheskaya,157,transport,37.56,2368000,46000,6.75,agency
S005178,2023-10-25,Moskvorechye-Saburovo,YuAO,55.64923,37.65169,60.7,39.3,11.6,2,3,5,2015,modern_panel,2.8,True,cosmetic,Kantemirovskaya,Zamoskvoretskaya,19,walk,11.8,12133000,199700,15.5,agency
S005179,2022-09-16,Pervomayskoye,TAO,55.47424,37.05932,87.3,54.3,19.2,4,7,22,1968,khrushchev,2.8,False,no_renovation,Park Pobedy,Arbatsko-Pokrovskaya,173,transport,47.01,3579000,41000,12.0,agency
S005180,2022-08-14,Perovo,VAO,55.74767,37.75485,44.0,27.7,7.3,1,21,22,2011,monolith,2.8,False,euro,Perovo,Kalininskaya,4,walk,8.42,13268000,301700,12.0,agency
S005181,2024-06-15,Ochakovo-Matveyevskoye,ZAO,55.68866,37.46412,64.5,43.2,10.2,2,7,9,1945,stalin,3.5,True,euro,Yugo-Zapadnaya,Sokolnicheskaya,21,transport,12.2,25803000,400000,18.5,owner
S005182,2021-01-16,Severnoye Izmaylovo,VAO,55.80551,37.81628,58.5,37.3,11.3,2,2,9,1964,khrushchev,2.7,True,cosmetic,Shchyolkovskaya,Arbatsko-Pokrovskaya,8,walk,13.5,8571000,146500,6.75,agency
S005183,2025-10-17,Severny,SVAO,55.92955,37.58482,100.0,66.6,16.5,3,4,9,1965,khrushchev,2.7,True,no_renovation,Rizhskaya,Kaluzhsko-Rizhskaya,73,transport,19.66,9532000,95300,19.5,owner
S005184,2021-01-25,Severny,SVAO,55.9306,37.56357,41.9,23.2,10.4,1,4,22,1976,panel,2.8,True,cosmetic,Vystavochnaya,Filyovskaya,89,transport,19.97,4168000,99400,6.75,agency
S005185,2020-07-18,Altufyevsky,SVAO,55.87779,37.58099,59.3,37.9,10.0,2,11,12,1970,khrushchev,2.7,True,euro,Chistye Prudy,Sokolnicheskaya,59,transport,14.0,6190000,104400,6.75,agency
S005186,2026-03-31,Orekhovo-Borisovo Severnoye,YuAO,55.61833,37.73289,65.3,39.3,11.2,2,5,9,1982,brick,3.2,True,no_renovation,Tulskaya,Serpukhovsko-Timiryazevskaya,53,transport,16.63,9844000,150800,19.5,agency
S005187,2022-08-17,Bibirevo,SVAO,55.89331,37.62788,93.6,62.0,13.7,4,3,5,2003,brick,2.5,False,cosmetic,Smolenskaya (F),Filyovskaya,66,transport,15.51,11968000,127800,12.0,agency
S005188,2023-01-28,Mosrentgen,NAO,55.61786,37.51006,77.5,50.3,15.6,3,13,22,1961,khrushchev,3.2,False,cosmetic,Shchukinskaya,Tagansko-Krasnopresnenskaya,88,transport,16.64,7386000,95400,10.0,agency
S005189,2025-11-23,Maryina Roshcha,SVAO,55.79171,37.61359,71.0,46.7,12.3,3,17,17,1964,khrushchev,2.7,False,euro,Sretensky Bulvar,Lyublinsko-Dmitrovskaya,18,transport,4.23,15716000,221200,19.5,agency
S005190,2020-04-16,Moskovsky,NAO,55.59002,37.32639,74.6,43.5,12.2,2,1,17,2016,modern_panel,2.8,True,cosmetic,Voykovskaya,Zamoskvoretskaya,108,transport,25.94,4448000,59600,6.75,owner
S005191,2021-12-31,Yaroslavsky,SVAO,55.88574,37.70633,92.1,51.4,13.3,3,10,12,2009,monolith,2.8,False,no_renovation,Aleksandrovsky Sad,Filyovskaya,67,transport,15.6,12834000,139400,11.0,owner
S005192,2024-05-13,Yuzhnoye Tushino,SZAO,55.85778,37.4583,73.0,49.3,7.1,2,8,17,1994,panel,2.8,True,no_renovation,Lubyanka,Sokolnicheskaya,67,transport,15.38,12134000,166300,18.5,agency
S005193,2020-12-28,Danilovsky,YuAO,55.71319,37.61593,61.8,34.9,14.2,2,5,17,1995,panel,2.7,True,no_renovation,Serpukhovskaya,Serpukhovsko-Timiryazevskaya,30,walk,4.54,9292000,150200,6.75,agency
S005194,2023-09-08,Nagorny,YuAO,55.67366,37.5997,45.3,28.8,6.2,1,1,9,1994,panel,3.0,True,euro,Nagornaya,Serpukhovsko-Timiryazevskaya,7,walk,9.02,11267000,249000,15.5,owner
S005195,2022-12-10,Yuzhnoye Tushino,SZAO,55.83136,37.4594,93.4,59.6,15.1,4,7,17,1989,panel,2.7,True,euro,Voykovskaya,Zamoskvoretskaya,25,transport,13.27,18866000,202000,10.0,agency
S005196,2020-11-10,Yasenevo,YuZAO,55.58913,37.57074,56.4,38.3,11.1,2,3,17,2013,modern_panel,2.8,True,no_renovation,Yasenevo,Kaluzhsko-Rizhskaya,4,walk,18.59,10066000,178500,6.75,agency
